,업종명,종목명,2014_E,2014_S,2014_G,2015_E,2015_S,2015_G,Diff_E,Diff_S,Diff_G,2014_종가,2015_종가,등락률,연도
0,1차 산업,동원수산,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,7180,9900,0.3788300835654596,"14,15년"
1,1차 산업,사조산업,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,37550,68500,0.8242343541944075,"14,15년"
2,1차 산업,신라교역,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,19900,17350,-0.1281407035175879,"14,15년"
3,건설업,GS건설,3.0,4.0,4.0,2.0,4.0,4.0,-1.0,0.0,0.0,28100,23300,-0.1708185053380783,"14,15년"
4,건설업,대우건설,,4.0,4.0,,3.0,4.0,,-1.0,0.0,6550,6510,-0.0061068702290076,"14,15년"
5,건설업,동아지질,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,7910,7960,0.0063211125158027,"14,15년"
6,건설업,삼부토건,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,5020,5290,0.0537848605577689,"14,15년"
7,건설업,삼호개발,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,3330,3410,0.024024024024024,"14,15년"
8,건설업,신세계건설,1.0,4.0,1.5,2.0,3.0,1.5,1.0,-1.0,0.0,21300,49500,1.323943661971831,"14,15년"
10,건설업,일성건설,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,6450,11400,0.7674418604651163,"14,15년"
11,건설업,진흥기업,,1.5,3.0,1.0,1.5,3.0,,0.0,0.0,1375,2240,0.6290909090909091,"14,15년"
12,건설업,코오롱글로벌,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,7420,17000,1.2911051212938005,"14,15년"
13,건설업,태영건설,3.0,3.0,3.0,3.0,1.5,3.0,0.0,-1.5,0.0,4245,5890,0.3875147232037691,"14,15년"
14,건설업,한신공영,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,12150,18800,0.5473251028806584,"14,15년"
15,건설업,한전KPS,2.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,87700,104000,0.185860889395667,"14,15년"
16,건설업,현대건설,3.0,3.0,4.0,2.0,3.0,4.0,-1.0,0.0,0.0,48550,34600,-0.2873326467559217,"14,15년"
17,건설업,화성산업,3.0,1.5,1.5,3.0,3.0,1.5,0.0,1.5,0.0,11950,17200,0.4393305439330544,"14,15년"
18,금융 및 보험업,AK홀딩스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,71200,86000,0.2078651685393258,"14,15년"
19,금융 및 보험업,CJ,2.0,4.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,174000,240000,0.3793103448275862,"14,15년"
20,금융 및 보험업,CS홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,74300,79900,0.0753701211305518,"14,15년"
21,금융 및 보험업,DGB금융지주,4.0,4.0,4.0,5.0,3.0,4.0,1.0,-1.0,0.0,15250,10600,-0.3049180327868852,"14,15년"
22,금융 및 보험업,GS,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,41450,50200,0.2110977080820265,"14,15년"
24,금융 및 보험업,KB금융,4.0,3.0,4.0,4.0,3.0,3.0,0.0,0.0,-1.0,42000,36150,-0.1392857142857143,"14,15년"
25,금융 및 보험업,KC그린홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,10350,9690,-0.0637681159420289,"14,15년"
26,금융 및 보험업,LG,4.0,3.0,1.5,4.0,3.0,1.5,0.0,0.0,0.0,63600,66000,0.0377358490566037,"14,15년"
27,금융 및 보험업,LS,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,59900,38700,-0.353923205342237,"14,15년"
28,금융 및 보험업,SK,2.0,4.0,5.0,4.0,4.0,4.0,2.0,0.0,-1.0,167000,267000,0.5988023952095808,"14,15년"
29,금융 및 보험업,SK증권,3.0,3.0,1.5,3.0,3.0,1.5,0.0,0.0,0.0,932,1175,0.2607296137339056,"14,15년"
30,금융 및 보험업,교보증권,2.0,1.5,1.5,4.0,3.0,1.5,2.0,1.5,0.0,13450,9850,-0.2676579925650557,"14,15년"
31,금융 및 보험업,기업은행,3.0,3.0,3.0,4.0,3.0,1.5,1.0,0.0,-1.5,15650,14000,-0.1054313099041533,"14,15년"
32,금융 및 보험업,노루홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,25400,28750,0.1318897637795275,"14,15년"
33,금융 및 보험업,농심홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,125500,150000,0.1952191235059761,"14,15년"
34,금융 및 보험업,대상홀딩스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,20800,21350,0.0264423076923076,"14,15년"
35,금융 및 보험업,대신증권,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,10250,10500,0.024390243902439,"14,15년"
36,금융 및 보험업,동아쏘시오홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,147000,162500,0.1054421768707483,"14,15년"
37,금융 및 보험업,동양생명,3.0,1.5,1.5,4.0,3.0,1.5,1.0,1.5,0.0,11600,13950,0.2025862068965517,"14,15년"
38,금융 및 보험업,동원산업,2.0,1.5,1.5,2.0,3.0,1.5,0.0,1.5,0.0,328000,320000,-0.024390243902439,"14,15년"
39,금융 및 보험업,두산,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,111000,110500,-0.0045045045045045,"14,15년"
40,금융 및 보험업,롯데손해보험,3.0,4.0,1.5,3.0,4.0,1.5,0.0,0.0,0.0,2915,2830,-0.0291595197255574,"14,15년"
41,금융 및 보험업,메리츠금융지주,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,9430,14650,0.5535524920466596,"14,15년"
42,금융 및 보험업,미래에셋증권,3.0,3.0,1.5,3.0,3.0,1.5,0.0,0.0,0.0,45950,25550,-0.4439608269858542,"14,15년"
43,금융 및 보험업,부국증권,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,14850,17200,0.1582491582491582,"14,15년"
44,금융 및 보험업,삼성생명,4.0,5.0,4.0,4.0,4.0,5.0,0.0,-1.0,1.0,116500,109000,-0.0643776824034334,"14,15년"
45,금융 및 보험업,삼성증권,4.0,4.0,1.5,5.0,3.0,1.5,1.0,-1.0,0.0,47800,48300,0.0104602510460251,"14,15년"
46,금융 및 보험업,삼성카드,3.0,3.0,1.5,4.0,1.5,1.5,1.0,-1.5,0.0,46000,38600,-0.1608695652173913,"14,15년"
47,금융 및 보험업,삼양홀딩스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,89000,160500,0.8033707865168539,"14,15년"
48,금융 및 보험업,서연,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,15300,12250,-0.1993464052287581,"14,15년"
49,금융 및 보험업,신영증권,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,60400,55200,-0.086092715231788,"14,15년"
50,금융 및 보험업,신한지주,5.0,4.0,4.0,5.0,5.0,4.0,0.0,1.0,0.0,50300,43550,-0.1341948310139165,"14,15년"
51,금융 및 보험업,영원무역홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,105500,72000,-0.3175355450236967,"14,15년"
52,금융 및 보험업,우리종금,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,470,611,0.3,"14,15년"
53,금융 및 보험업,유안타증권,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,3055,3995,0.3076923076923077,"14,15년"
54,금융 및 보험업,유화증권,1.0,1.5,1.5,3.0,1.5,1.5,2.0,0.0,0.0,14550,14700,0.0103092783505154,"14,15년"
55,금융 및 보험업,일진홀딩스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,7500,12050,0.6066666666666667,"14,15년"
56,금융 및 보험업,제주은행,4.0,1.5,1.5,4.0,1.5,1.5,0.0,0.0,0.0,7850,9950,0.267515923566879,"14,15년"
57,금융 및 보험업,코리안리,4.0,1.5,1.5,4.0,1.5,1.5,0.0,0.0,0.0,11400,13600,0.1929824561403508,"14,15년"
58,금융 및 보험업,코스맥스비티아이,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,51000,71300,0.3980392156862745,"14,15년"
59,금융 및 보험업,코오롱,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,25750,64100,1.4893203883495143,"14,15년"
60,금융 및 보험업,키움증권,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,45350,58700,0.2943770672546857,"14,15년"
61,금융 및 보험업,풍산홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,46100,40150,-0.1290672451193058,"14,15년"
62,금융 및 보험업,하나금융지주,5.0,3.0,1.5,5.0,3.0,1.5,0.0,0.0,0.0,37050,27800,-0.2496626180836707,"14,15년"
63,금융 및 보험업,하이트진로홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,12500,13650,0.092,"14,15년"
64,금융 및 보험업,한국금융지주,4.0,1.5,1.5,4.0,1.5,1.5,0.0,0.0,0.0,54100,61000,0.1275415896487985,"14,15년"
65,금융 및 보험업,한국전자홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,1555,1105,-0.2893890675241157,"14,15년"
66,금융 및 보험업,한국콜마홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,50100,66200,0.3213572854291417,"14,15년"
68,금융 및 보험업,한양증권,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,6850,8500,0.2408759124087591,"14,15년"
69,금융 및 보험업,한화생명,4.0,1.5,1.5,4.0,4.0,1.5,0.0,2.5,0.0,8210,8490,0.0341047503045067,"14,15년"
70,금융 및 보험업,한화손해보험,3.0,1.5,1.5,2.0,3.0,1.5,-1.0,1.5,0.0,5390,7530,0.3970315398886827,"14,15년"
71,금융 및 보험업,한화투자증권,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,3750,4490,0.1973333333333333,"14,15년"
72,금융 및 보험업,현대해상,4.0,4.0,3.0,4.0,4.0,1.5,0.0,0.0,-1.5,28250,33950,0.2017699115044247,"14,15년"
73,금융 및 보험업,효성,2.0,3.0,1.5,1.0,3.0,3.0,-1.0,0.0,1.5,63500,117000,0.84251968503937,"14,15년"
74,금융 및 보험업,흥국화재,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,3860,4010,0.038860103626943,"14,15년"
75,서비스업,CJ CGV,1.0,3.0,1.5,2.0,1.5,1.5,1.0,-1.5,0.0,52400,104000,0.9847328244274808,"14,15년"
76,서비스업,GKL,2.0,1.5,1.5,3.0,3.0,1.5,1.0,1.5,0.0,38250,31800,-0.1686274509803921,"14,15년"
77,서비스업,KTcs,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,2965,3600,0.2141652613827993,"14,15년"
78,서비스업,NAVER,4.0,3.0,1.5,3.0,1.5,1.5,-1.0,-1.5,0.0,754000,600000,-0.2042440318302387,"14,15년"
79,서비스업,NICE,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,17700,25450,0.4378531073446328,"14,15년"
80,서비스업,SBS,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,27100,38500,0.4206642066420664,"14,15년"
81,서비스업,강원랜드,3.0,4.0,3.0,4.0,3.0,3.0,1.0,-1.0,0.0,35000,42300,0.2085714285714285,"14,15년"
82,서비스업,녹십자홀딩스,2.0,1.5,1.5,1.0,3.0,1.5,-1.0,1.5,0.0,22450,41050,0.8285077951002228,"14,15년"
83,서비스업,다우기술,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,11100,24850,1.2387387387387387,"14,15년"
84,서비스업,대교,5.0,1.5,1.5,4.0,1.5,1.5,-1.0,0.0,0.0,7450,9150,0.2281879194630872,"14,15년"
85,서비스업,대성홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,12300,11900,-0.032520325203252,"14,15년"
86,서비스업,더존비즈온,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,7040,21500,2.053977272727273,"14,15년"
87,서비스업,도화엔지니어링,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,4305,4055,-0.0580720092915214,"14,15년"
88,서비스업,롯데관광개발,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,13900,15750,0.1330935251798561,"14,15년"
89,서비스업,비상교육,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,8100,8800,0.0864197530864197,"14,15년"
90,서비스업,삼성엔지니어링,3.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,61600,18200,-0.7045454545454546,"14,15년"
91,서비스업,삼성출판사,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,7200,12700,0.7638888888888888,"14,15년"
92,서비스업,성창기업지주,1.0,1.5,1.5,,1.5,1.5,,0.0,0.0,20950,29450,0.4057279236276849,"14,15년"
93,서비스업,신세계푸드,1.0,3.0,3.0,2.0,3.0,1.5,1.0,0.0,-1.5,93500,172000,0.839572192513369,"14,15년"
94,서비스업,아세아,1.0,3.0,3.0,1.0,1.5,1.5,0.0,-1.5,-1.5,148500,117000,-0.2121212121212121,"14,15년"
95,서비스업,에스원,2.0,3.0,1.5,1.0,1.5,1.5,-1.0,-1.5,0.0,74400,99000,0.3306451612903225,"14,15년"
96,서비스업,엔씨소프트,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,147000,189500,0.2891156462585034,"14,15년"
97,서비스업,웅진씽크빅,2.0,3.0,1.5,2.0,1.5,1.5,0.0,-1.5,0.0,7240,8180,0.1298342541436464,"14,15년"
98,서비스업,유엔젤,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,2965,5710,0.9258010118043845,"14,15년"
99,서비스업,이스타코,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,3080,2835,-0.0795454545454545,"14,15년"
100,서비스업,제일기획,2.0,1.5,1.5,1.0,3.0,3.0,-1.0,1.5,1.5,16700,20000,0.1976047904191616,"14,15년"
101,서비스업,코웨이,2.0,4.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,81600,85200,0.0441176470588235,"14,15년"
102,서비스업,콤텍시스템,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,1300,1570,0.2076923076923077,"14,15년"
103,서비스업,텔코웨어,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,13450,14550,0.0817843866171003,"14,15년"
104,서비스업,하나투어,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,67100,126000,0.8777943368107303,"14,15년"
105,서비스업,한국종합기술,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,4930,5040,0.0223123732251521,"14,15년"
106,서비스업,한미글로벌,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,8500,12350,0.4529411764705882,"14,15년"
107,서비스업,한전기술,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,65000,34200,-0.4738461538461538,"14,15년"
108,서비스업,한전산업,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,6550,4690,-0.2839694656488549,"14,15년"
109,에너지업,대성에너지,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,6350,6630,0.0440944881889763,"14,15년"
110,에너지업,삼천리,3.0,3.0,3.0,1.0,3.0,3.0,-2.0,0.0,0.0,151000,102500,-0.3211920529801324,"14,15년"
111,에너지업,인천도시가스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,36600,34650,-0.0532786885245901,"14,15년"
112,에너지업,지역난방공사,4.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,60000,62100,0.035,"14,15년"
113,에너지업,한국가스공사,4.0,4.0,4.0,3.0,3.0,4.0,-1.0,-1.0,0.0,50100,42600,-0.1497005988023952,"14,15년"
114,에너지업,한진중공업홀딩스,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,9000,6590,-0.2677777777777778,"14,15년"
115,운수 및 창고업,CJ대한통운,3.0,4.0,3.0,3.0,3.0,3.0,0.0,-1.0,0.0,193000,195000,0.0103626943005181,"14,15년"
116,운수 및 창고업,E1,3.0,1.5,1.5,2.0,3.0,1.5,-1.0,1.5,0.0,71700,69000,-0.0376569037656903,"14,15년"
117,운수 및 창고업,GS글로벌,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,8870,6200,-0.3010146561443066,"14,15년"
118,운수 및 창고업,GS리테일,3.0,1.5,3.0,2.0,1.5,1.5,-1.0,0.0,-1.5,24900,57600,1.313253012048193,"14,15년"
119,운수 및 창고업,KSS해운,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,14300,17700,0.2377622377622377,"14,15년"
120,운수 및 창고업,LS네트웍스,2.0,1.5,1.5,,1.5,1.5,,0.0,0.0,4695,3960,-0.1565495207667731,"14,15년"
121,운수 및 창고업,SG세계물산,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,615,1280,1.08130081300813,"14,15년"
122,운수 및 창고업,SK가스,3.0,3.0,1.5,3.0,1.5,1.5,0.0,-1.5,0.0,139500,85200,-0.3892473118279569,"14,15년"
123,운수 및 창고업,SK네트웍스,3.0,4.0,1.5,3.0,3.0,1.5,0.0,-1.0,0.0,10950,7090,-0.3525114155251141,"14,15년"
124,운수 및 창고업,경방,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,191000,192000,0.0052356020942408,"14,15년"
125,운수 및 창고업,광주신세계,2.0,3.0,1.5,3.0,1.5,1.5,1.0,-1.5,0.0,308000,298500,-0.0308441558441558,"14,15년"
126,운수 및 창고업,국동,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,11500,9600,-0.1652173913043478,"14,15년"
127,운수 및 창고업,국보,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,11900,17950,0.5084033613445378,"14,15년"
128,운수 및 창고업,남성,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,12000,2140,-0.8216666666666667,"14,15년"
129,운수 및 창고업,대구백화점,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,15250,14200,-0.0688524590163934,"14,15년"
130,운수 및 창고업,대성산업,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,2490,4030,0.6184738955823293,"14,15년"
131,운수 및 창고업,대한항공,3.0,4.0,3.0,,3.0,4.0,,-1.0,1.0,37950,30850,-0.1870882740447957,"14,15년"
132,운수 및 창고업,대한해운,,1.5,1.5,1.0,1.5,1.5,,0.0,0.0,29800,20200,-0.3221476510067114,"14,15년"
133,운수 및 창고업,동방,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,1880,3050,0.6223404255319149,"14,15년"
134,운수 및 창고업,동양고속,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,34400,37150,0.0799418604651162,"14,15년"
135,운수 및 창고업,롯데쇼핑,4.0,4.0,4.0,1.0,1.5,4.0,-3.0,-2.5,0.0,296500,232000,-0.2175379426644182,"14,15년"
136,운수 및 창고업,롯데하이마트,4.0,3.0,1.5,3.0,3.0,1.5,-1.0,0.0,0.0,66100,58200,-0.1195158850226928,"14,15년"
137,운수 및 창고업,모나미,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,3715,4565,0.2288021534320323,"14,15년"
138,운수 및 창고업,삼성물산,2.0,4.0,4.0,2.0,3.0,4.0,0.0,-1.0,0.0,72300,155000,1.1438450899031811,"14,15년"
139,운수 및 창고업,삼영무역,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,23900,23050,-0.0355648535564853,"14,15년"
140,운수 및 창고업,세기상사,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,30600,54000,0.7647058823529411,"14,15년"
141,운수 및 창고업,세방,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,19350,17950,-0.0723514211886304,"14,15년"
142,운수 및 창고업,세우글로벌,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,1190,2075,0.7436974789915967,"14,15년"
143,운수 및 창고업,세이브존I&C,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,7080,6020,-0.1497175141242938,"14,15년"
144,운수 및 창고업,신성통상,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,1245,1915,0.5381526104417671,"14,15년"
145,운수 및 창고업,신세계,3.0,3.0,3.0,1.0,4.0,3.0,-2.0,1.0,0.0,198500,232500,0.1712846347607053,"14,15년"
146,운수 및 창고업,신세계인터내셔날,2.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,125000,111000,-0.112,"14,15년"
147,운수 및 창고업,신흥,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,9680,10900,0.1260330578512396,"14,15년"
148,운수 및 창고업,아시아나항공,1.0,4.0,3.0,1.0,3.0,4.0,0.0,-1.0,1.0,4015,4845,0.2067247820672478,"14,15년"
149,운수 및 창고업,아이마켓코리아,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,26350,29700,0.127134724857685,"14,15년"
150,운수 및 창고업,영원무역,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,63900,47900,-0.2503912363067292,"14,15년"
151,운수 및 창고업,윌비스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,1235,2325,0.8825910931174089,"14,15년"
152,운수 및 창고업,유니퀘스트,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,8240,4135,-0.4981796116504854,"14,15년"
153,운수 및 창고업,이마트,3.0,3.0,5.0,1.0,1.5,4.0,-2.0,-1.5,-1.0,198000,212500,0.0732323232323232,"14,15년"
